Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
apple-iphone-5s-16gb-43d6xr,Apple iPhone 5S 16GB (43D6XR),"Spesifikasjoner:
Vekt: 112g
Dimensjon: (123.8 x 58.6 x 7.6 mm )
Skjerm Størrelse: 4,0-inch
OS: iOS 7, upgradable to iOS 11.3
CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based)
RAM: 1GB
Batteri: 1560mAh
Kamera: 8MP
Front Kamera: 1,2MP",Apple,Smartphone,"16gb, iphone 5s, Smartphone, silver",true,Title,Default,,,,,,870,shopify,0,deny,manual,1390,,true,false,5ae065866b0e81000ab5bcb6,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_8ee02ec0-cf97-46ec-84f4-d4cd1c92ecc1.jpg?v=1524745257,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-4-32gb-njev3z,Apple iPhone 4 32GB (NJEV3Z),,Apple,Smartphone,Smartphone,true,Title,Default,,,,,,750,shopify,1,deny,manual,0,,true,false,5ae1b9075803f2000927a03e,https://cdn.shopify.com/s/files/1/2424/9275/products/8fc4982ec1b7811e921632c7a884ae30.jpg?v=1524742466,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5s-16gb-yz2d3z,Apple iPhone 5S 16GB (YZ2D3Z),"Spesifikasjoner:
Vekt: 112g
Dimensjon: (123.8 x 58.6 x 7.6 mm )
Skjerm Størrelse: 4,0-inch
OS: iOS 7, upgradable to iOS 11.3
CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based)
RAM: 1GB
Batteri: 1560mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,,true,Title,Default,,,,,,1600,shopify,0,deny,manual,800,,true,false,5ae189306b6b7c00081dc055,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_b51c1d55-1890-444f-821a-e0d6355155e8.jpg?v=1524730220,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6s-16gb-g673rz,Apple iPhone 6S 16GB (G673RZ),,BuiltOn Store,Smartphone,,true,Title,Default,,,,,,1650,shopify,0,deny,manual,2990,,true,false,5ae065376b0e81000b67d29b,https://cdn.shopify.com/s/files/1/2424/9275/products/73c7b091f1379b92a6e6c68b6dfdbc68.jpg?v=1524730150,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-k9989p,Apple iPhone 6 16GB (K9989P),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,,true,Title,Default,,,,,,850,shopify,0,deny,manual,2590,,true,false,5ae065376b0e81000b67d29a,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_35138030-f988-45b0-834a-6651b4dae6bd.jpg?v=1524729159,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5s-16gb-y8gx78,Apple iPhone 5S 16GB (Y8GX78),"Spesifikasjoner: Vekt: 112g Dimensjon: (123.8 x 58.6 x 7.6 mm ) Skjerm Størrelse: 4,0-inch OS: iOS 7, upgradable to iOS 11.3 CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based) RAM: 1GB Batteri: 1560mAh Kamera: 8MP Front Kamera: 1,2MP",BuiltOn Store,Smartphone,,true,Title,Default,,,,,,950,shopify,0,deny,manual,1490,,true,false,5ae065376b0e81000b67d299,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_dd102284-ead8-4072-80ee-aae5392c32a6.jpg?v=1524726989,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5s-16gb-pj342q,Apple iPhone 5S 16GB (PJ342Q),"Spesifikasjoner: Vekt: 112g Dimensjon: (123.8 x 58.6 x 7.6 mm ) Skjerm Størrelse: 4,0-inch OS: iOS 7, upgradable to iOS 11.3 CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based) RAM: 1GB Batteri: 1560mAh Kamera: 8MP Front Kamera: 1,2MP",BuiltOn Store,Smartphone,,true,Title,Default,,,,,,990,shopify,0,deny,manual,1490,,true,false,5adf1d868dee970072b392b8,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_b3e7a2d6-c6cf-48de-a069-069ea0a865f5.jpg?v=1524652808,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-mqvv62,Apple iPhone 6 16GB (MQVV62),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,,true,Title,Default,,,,,,990,shopify,0,deny,manual,2490,,true,false,5adf1d868dee970072b392b7,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_9db8aa91-fba0-4d02-8912-f7f3017cfbcd.jpg?v=1524652648,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-6-16gb-jerdd2,Apple iPhone 6 16GB (JERDD2),"Spesifikasjoner:
Vekt: 129g
Dimensjon: 138.1 x 67 x 6.9 mm
Skjerm Størrelse: 4,7-inch
OS: iOS 8, upgradable to iOS 11.2.5
CPU: Apple A8, Dual-core 1.4 GHz Typhoon (ARM v8-based) 
RAM: 1GB
Batteri: 1810mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,"16GB, space grey",true,Title,Default,,,,,,1870,shopify,0,deny,manual,2490,,true,false,5ae04b9d6b0e810008adf690,https://cdn.shopify.com/s/files/1/2424/9275/products/df862bd563975cebe89fe276b5d03e5e_7bfbe00e-3e23-47f3-a92c-3f5d278590c7.jpg?v=1524649102,1,,false,,,,,,,,,,,,,,,,,kg,,
apple-iphone-5s-16gb-l7e4vz,Apple iPhone 5S 16GB (L7E4VZ),"Spesifikasjoner:
Vekt: 112g
Dimensjon: (123.8 x 58.6 x 7.6 mm )
Skjerm Størrelse: 4,0-inch
OS: iOS 7, upgradable to iOS 11.3
CPU: Dual-core 1.3 GHz Cyclone (ARM v8-based)
RAM: 1GB
Batteri: 1560mAh
Kamera: 8MP
Front Kamera: 1,2MP",BuiltOn Store,Smartphone,"16GB, space grey",true,Title,Default,,,,,,1500,shopify,0,deny,manual,1490,,true,false,5ae04b9d6b0e810008adf68f,https://cdn.shopify.com/s/files/1/2424/9275/products/73d53047ba5a39dfe6129367374ca0e3_399cacf1-d3de-4517-b168-43e06f6043da.jpg?v=1524649052,1,,false,,,,,,,,,,,,,,,,,kg,,
